Longitude;Latitude;Accuracy;Provider;1354378875238
13.366678152233362;52.532006269320846;5.0;gps;1354398773000
13.366789212450385;52.532067080028355;5.0;gps;1354398775000
13.366789212450385;52.532067080028355;5.0;gps;1354398776000
13.366789212450385;52.532067080028355;5.0;gps;1354398777000
13.366789212450385;52.532067080028355;5.0;gps;1354398778000
13.366838414222002;52.532030870206654;5.0;gps;1354398779000
13.366851573809981;52.5320164533332;5.0;gps;1354398780000
13.366858614608645;52.532005766406655;5.0;gps;1354398781000
13.366860458627343;52.53199222963303;5.0;gps;1354398782000
13.366856267675757;52.53197412472218;5.0;gps;1354398783000
13.366862554103136;52.53195966593921;5.0;gps;1354398784000
13.366871941834688;52.53194726072252;5.0;gps;1354398785000
13.36688568815589;52.53193133510649;5.0;gps;1354398786000
13.36689650081098;52.53191863652319;5.0;gps;1354398787000
13.366905553266406;52.531906608492136;5.0;gps;1354398788000
13.36691552773118;52.53189470618963;5.0;gps;1354398789000
13.366920473054051;52.531885360367596;5.0;gps;1354398790000
13.366926340386271;52.531873835250735;5.0;gps;1354398791000
13.366935644298792;52.531861388124526;5.0;gps;1354398792000
13.366943439468741;52.53185447305441;5.0;gps;1354398793000
13.366956347599626;52.53184194210917;5.0;gps;1354398794000
13.366967998445034;52.53182869870216;5.0;gps;1354398795000
13.366978978738189;52.53181713167578;5.0;gps;1354398796000
13.366989623755217;52.53180510364473;5.0;gps;1354398797000
13.367000436410308;52.53179110586643;5.0;gps;1354398798000
13.367004124447703;52.53177928738296;5.0;gps;1354398799000
13.367011584341526;52.5317669659853;5.0;gps;1354398800000
13.367021810263395;52.53175443504006;5.0;gps;1354398801000
13.367032120004296;52.53174236509949;5.0;gps;1354398802000
13.367042429745197;52.531732390634716;5.0;gps;1354398803000
13.367051566019654;52.53172149416059;5.0;gps;1354398804000
13.367059612646699;52.53171315416694;5.0;gps;1354398805000
13.367066569626331;52.53170431125909;5.0;gps;1354398806000
13.367071263492107;52.531696977093816;5.0;gps;1354398807000
13.367078555747867;52.531689391471446;5.0;gps;1354398808000
13.36708702147007;52.531680380925536;5.0;gps;1354398809000
13.367096660658717;52.5316710351035;5.0;gps;1354398810000
13.367105545476079;52.53166215028614;5.0;gps;1354398811000
13.367113005369902;52.531655696220696;5.0;gps;1354398812000
13.367121554911137;52.531645596027374;5.0;gps;1354398813000
13.367126835510135;52.53163595683873;5.0;gps;1354398814000
13.367133038118482;52.5316237192601;5.0;gps;1354398815000
13.367139911279082;52.53161387052387;5.0;gps;1354398816000
13.367145862430334;52.531605027616024;5.0;gps;1354398817000
13.367153070867062;52.5315933348611;5.0;gps;1354398818000
13.367158686742187;52.53158348612487;5.0;gps;1354398819000
13.367167487740517;52.531573134474456;5.0;gps;1354398820000
13.367176037281752;52.53156429156661;5.0;gps;1354398821000
13.367185341194272;52.531555532477796;5.0;gps;1354398822000
13.367194812744856;52.53154627047479;5.0;gps;1354398823000
13.367204619571567;52.53153575118631;5.0;gps;1354398824000
13.367216186597943;52.53152556717396;5.0;gps;1354398825000
13.367228172719479;52.53151525743306;5.0;gps;1354398826000
13.36723898537457;52.531504863873124;5.0;gps;1354398827000
13.367245187982917;52.53149505704641;5.0;gps;1354398828000
13.367250887677073;52.53148537594825;5.0;gps;1354398829000
13.367260443046689;52.531476616859436;5.0;gps;1354398830000
13.367268573492765;52.53146949224174;5.0;gps;1354398831000
13.367279721423984;52.531458218581975;5.0;gps;1354398832000
13.3672927133739;52.531445352360606;5.0;gps;1354398833000
13.367308974266052;52.53143051639199;5.0;gps;1354398834000
13.367323391139507;52.53141878172755;5.0;gps;1354398835000
13.367340490221977;52.53140759188682;5.0;gps;1354398836000
13.367355661466718;52.531399126164615;5.0;gps;1354398837000
13.367363959550858;52.5313903670758;5.0;gps;1354398838000
13.367369994521141;52.53137963823974;5.0;gps;1354398839000
13.367374604567885;52.531369747594;5.0;gps;1354398840000
13.367382483556867;52.53135843202472;5.0;gps;1354398841000
13.367394218221307;52.53134523052722;5.0;gps;1354398842000
13.367408718913794;52.531333663500845;5.0;gps;1354398843000
13.367423303425312;52.531323940493166;5.0;gps;1354398844000
